,Feature,SHAP Importance
114,Brand_16,0.0
115,Brand_17,0.0
116,Brand_18,0.0
149,Brand_81,0.0
152,Brand_85,0.0
153,Brand_86,0.0
34,Region_17,0.0
33,Region_16,0.0
32,Region_15,0.0
158,Model_3,0.0
159,Model_4,0.0
160,Model_5,0.0
161,Model_6,0.0
162,Model_7,0.0
163,Model_8,0.0
164,Model_9,0.0
165,Model_10,0.0
166,Model_11,0.0
167,Model_13,0.0
168,Model_14,0.0
169,Model_15,0.0
170,Model_16,0.0
171,Model_17,0.0
172,Model_18,0.0
173,Model_19,0.0
174,Model_20,0.0
175,Model_21,0.0
176,Model_22,0.0
177,Model_23,0.0
151,Brand_84,0.0
148,Brand_80,0.0
117,Brand_19,0.0
147,Brand_79,0.0
118,Brand_20,0.0
119,Brand_21,0.0
120,Brand_23,0.0
121,Brand_25,0.0
122,Brand_29,0.0
125,Brand_39,0.0
126,Brand_40,0.0
39,Clime_2,0.0
128,Brand_43,0.0
129,Brand_44,0.0
130,Brand_45,0.0
131,Brand_46,0.0
132,Brand_47,0.0
133,Brand_48,0.0
134,Brand_55,0.0
38,Region_21,0.0
136,Brand_58,0.0
137,Brand_59,0.0
138,Brand_60,0.0
36,Region_19,0.0
140,Brand_63,0.0
141,Brand_66,0.0
144,Brand_73,0.0
145,Brand_74,0.0
35,Region_18,0.0
296,Model_151,0.0
297,Model_152,0.0
298,Model_153,0.0
461,Model_330,0.0
448,Model_316,0.0
449,Model_318,0.0
450,Model_319,0.0
451,Model_320,0.0
453,Model_322,0.0
454,Model_323,0.0
455,Model_324,0.0
456,Model_325,0.0
457,Model_326,0.0
458,Model_327,0.0
459,Model_328,0.0
460,Model_329,0.0
462,Model_331,0.0
416,Model_280,0.0
464,Model_333,0.0
465,Model_334,0.0
466,Model_335,0.0
467,Model_336,0.0
468,Model_337,0.0
469,Model_338,0.0
470,Model_339,0.0
471,Model_340,0.0
472,Model_341,0.0
473,Model_342,0.0
474,Model_343,0.0
475,Model_345,0.0
447,Model_315,0.0
446,Model_314,0.0
445,Model_313,0.0
444,Model_312,0.0
418,Model_282,0.0
419,Model_283,0.0
420,Model_284,0.0
421,Model_285,0.0
422,Model_287,0.0
423,Model_289,0.0
424,Model_290,0.0
425,Model_291,0.0
426,Model_292,0.0
427,Model_293,0.0
428,Model_294,0.0
429,Model_295,0.0
430,Model_296,0.0
431,Model_297,0.0
432,Model_299,0.0
433,Model_301,0.0
434,Model_302,0.0
435,Model_303,0.0
436,Model_304,0.0
437,Model_305,0.0
439,Model_307,0.0
440,Model_308,0.0
441,Model_309,0.0
442,Model_310,0.0
443,Model_311,0.0
476,Model_346,0.0
477,Model_347,0.0
478,Model_348,0.0
507,Model_383,0.0
509,Model_385,0.0
510,Model_386,0.0
511,Model_387,0.0
512,Model_388,0.0
513,Model_389,0.0
514,Model_391,0.0
515,Model_392,0.0
516,Model_393,0.0
517,Model_394,0.0
518,Model_395,0.0
519,Model_396,0.0
520,Model_397,0.0
521,Model_398,0.0
522,Model_399,0.0
523,Model_400,0.0
524,Model_402,0.0
525,Model_403,0.0
526,Model_404,0.0
51,Shifter_8,0.0
528,Model_406,0.0
529,Model_407,0.0
530,Model_408,0.0
531,Model_409,0.0
532,Model_410,0.0
533,Model_411,0.0
508,Model_384,0.0
506,Model_382,0.0
479,Model_349,0.0
505,Model_381,0.0
480,Model_350,0.0
481,Model_351,0.0
482,Model_352,0.0
483,Model_353,0.0
484,Model_354,0.0
485,Model_355,0.0
486,Model_356,0.0
487,Model_357,0.0
488,Model_359,0.0
489,Model_362,0.0
490,Model_363,0.0
491,Model_364,0.0
492,Model_365,0.0
493,Model_367,0.0
494,Model_368,0.0
495,Model_369,0.0
496,Model_370,0.0
497,Model_371,0.0
498,Model_372,0.0
499,Model_373,0.0
500,Model_374,0.0
501,Model_375,0.0
27,Region_10,0.0
503,Model_379,0.0
504,Model_380,0.0
417,Model_281,0.0
415,Model_279,0.0
299,Model_154,0.0
341,Model_198,0.0
329,Model_185,0.0
330,Model_186,0.0
331,Model_188,0.0
332,Model_189,0.0
333,Model_190,0.0
334,Model_191,0.0
335,Model_192,0.0
336,Model_193,0.0
29,Region_12,0.0
338,Model_195,0.0
339,Model_196,0.0
340,Model_197,0.0
342,Model_199,0.0
414,Model_278,0.0
343,Model_200,0.0
344,Model_201,0.0
345,Model_203,0.0
346,Model_204,0.0
347,Model_205,0.0
348,Model_206,0.0
349,Model_207,0.0
350,Model_209,0.0
351,Model_210,0.0
