,Feature,SHAP Importance
900,Model_1076,0.0
152,Brand_85,0.0
903,Model_1081,0.0
905,Model_1092,0.0
872,Model_1010,0.0
906,Model_1097,0.0
907,Model_1112,0.0
908,Model_1119,0.0
909,Model_1123,0.0
910,Model_1124,0.0
911,Model_1128,0.0
912,Model_1129,0.0
913,Model_1133,0.0
894,Model_1068,0.0
159,Model_4,0.0
161,Model_6,0.0
891,Model_1062,0.0
873,Model_1012,0.0
875,Model_1015,0.0
876,Model_1017,0.0
164,Model_9,0.0
878,Model_1022,0.0
879,Model_1024,0.0
880,Model_1026,0.0
881,Model_1027,0.0
882,Model_1029,0.0
162,Model_7,0.0
884,Model_1032,0.0
885,Model_1034,0.0
886,Model_1037,0.0
887,Model_1048,0.0
888,Model_1051,0.0
889,Model_1058,0.0
890,Model_1059,0.0
665,Model_569,0.0
207,Model_53,0.0
663,Model_566,0.0
427,Model_293,0.0
419,Model_283,0.0
420,Model_284,0.0
421,Model_285,0.0
422,Model_287,0.0
423,Model_289,0.0
424,Model_290,0.0
425,Model_291,0.0
426,Model_292,0.0
279,Model_130,0.0
394,Model_256,0.0
429,Model_295,0.0
430,Model_296,0.0
431,Model_297,0.0
432,Model_299,0.0
433,Model_301,0.0
434,Model_302,0.0
277,Model_128,0.0
436,Model_304,0.0
280,Model_131,0.0
416,Model_280,0.0
415,Model_279,0.0
414,Model_278,0.0
396,Model_258,0.0
398,Model_260,0.0
399,Model_261,0.0
400,Model_263,0.0
284,Model_137,0.0
402,Model_265,0.0
403,Model_266,0.0
283,Model_136,0.0
405,Model_268,0.0
406,Model_269,0.0
83,Color_61,0.0
408,Model_271,0.0
409,Model_273,0.0
410,Model_274,0.0
411,Model_275,0.0
412,Model_276,0.0
413,Model_277,0.0
437,Model_305,0.0
441,Model_309,0.0
442,Model_310,0.0
270,Model_119,0.0
466,Model_335,0.0
467,Model_336,0.0
468,Model_337,0.0
469,Model_338,0.0
470,Model_339,0.0
471,Model_340,0.0
472,Model_341,0.0
473,Model_342,0.0
474,Model_343,0.0
475,Model_345,0.0
476,Model_346,0.0
477,Model_347,0.0
478,Model_348,0.0
479,Model_349,0.0
268,Model_116,0.0
481,Model_351,0.0
482,Model_352,0.0
464,Model_333,0.0
462,Model_331,0.0
443,Model_311,0.0
461,Model_330,0.0
444,Model_312,0.0
445,Model_313,0.0
446,Model_314,0.0
447,Model_315,0.0
448,Model_316,0.0
449,Model_318,0.0
450,Model_319,0.0
274,Model_124,0.0
273,Model_123,0.0
453,Model_322,0.0
454,Model_323,0.0
455,Model_324,0.0
456,Model_325,0.0
457,Model_326,0.0
271,Model_120,0.0
459,Model_328,0.0
460,Model_329,0.0
395,Model_257,0.0
393,Model_254,0.0
485,Model_355,0.0
336,Model_193,0.0
327,Model_183,0.0
328,Model_184,0.0
329,Model_185,0.0
330,Model_186,0.0
295,Model_150,0.0
333,Model_190,0.0
334,Model_191,0.0
335,Model_192,0.0
294,Model_149,0.0
392,Model_253,0.0
293,Model_148,0.0
339,Model_196,0.0
340,Model_197,0.0
341,Model_198,0.0
342,Model_199,0.0
292,Model_147,0.0
344,Model_201,0.0
345,Model_203,0.0
326,Model_182,0.0
325,Model_181,0.0
324,Model_180,0.0
296,Model_151,0.0
305,Model_160,0.0
306,Model_161,0.0
307,Model_162,0.0
309,Model_164,0.0
310,Model_165,0.0
311,Model_166,0.0
299,Model_154,0.0
313,Model_168,0.0
298,Model_153,0.0
315,Model_170,0.0
316,Model_171,0.0
317,Model_172,0.0
297,Model_152,0.0
319,Model_174,0.0
320,Model_175,0.0
321,Model_177,0.0
322,Model_178,0.0
346,Model_204,0.0
347,Model_205,0.0
348,Model_206,0.0
372,Model_232,0.0
287,Model_142,0.0
375,Model_235,0.0
376,Model_236,0.0
85,Color_63,0.0
286,Model_140,0.0
379,Model_239,0.0
285,Model_138,0.0
84,Color_62,0.0
382,Model_242,0.0
383,Model_243,0.0
384,Model_244,0.0
385,Model_245,0.0
386,Model_246,0.0
387,Model_247,0.0
389,Model_250,0.0
390,Model_251,0.0
391,Model_252,0.0
373,Model_233,0.0
288,Model_143,0.0
349,Model_207,0.0
370,Model_230,0.0
351,Model_210,0.0
352,Model_211,0.0
353,Model_212,0.0
354,Model_213,0.0
355,Model_214,0.0
290,Model_145,0.0
357,Model_217,0.0
358,Model_218,0.0
359,Model_219,0.0
360,Model_220,0.0
361,Model_221,0.0
363,Model_223,0.0
364,Model_224,0.0
289,Model_144,0.0
366,Model_226,0.0
368,Model_228,0.0
369,Model_229,0.0
484,Model_354,0.0
487,Model_357,0.0
662,Model_565,0.0
608,Model_501,0.0
219,Model_67,0.0
600,Model_492,0.0
602,Model_494,0.0
603,Model_495,0.0
604,Model_497,0.0
605,Model_498,0.0
606,Model_499,0.0
607,Model_500,0.0
609,Model_502,0.0
230,Model_78,0.0
217,Model_65,0.0
611,Model_504,0.0
612,Model_506,0.0
613,Model_507,0.0
614,Model_509,0.0
615,Model_511,0.0
616,Model_512,0.0
617,Model_513,0.0
598,Model_489,0.0
597,Model_488,0.0
220,Model_68,0.0
595,Model_484,0.0
228,Model_76,0.0
578,Model_463,0.0
579,Model_465,0.0
580,Model_466,0.0
227,Model_75,0.0
582,Model_468,0.0
226,Model_74,0.0
584,Model_470,0.0
585,Model_471,0.0
586,Model_472,0.0
225,Model_73,0.0
222,Model_70,0.0
589,Model_475,0.0
590,Model_477,0.0
591,Model_478,0.0
592,Model_479,0.0
221,Model_69,0.0
618,Model_514,0.0
95,Color_100,0.0
620,Model_517,0.0
210,Model_56,0.0
645,Model_546,0.0
646,Model_547,0.0
647,Model_548,0.0
209,Model_55,0.0
649,Model_550,0.0
650,Model_551,0.0
208,Model_54,0.0
652,Model_553,0.0
301,Model_156,0.0
654,Model_556,0.0
202,Model_48,0.0
201,Model_47,0.0
657,Model_559,0.0
200,Model_46,0.0
659,Model_562,0.0
660,Model_563,0.0
661,Model_564,0.0
644,Model_545,0.0
642,Model_541,0.0
621,Model_518,0.0
641,Model_540,0.0
622,Model_519,0.0
623,Model_520,0.0
