ad_id,region_id,ad_price,numpictures,proseller,adoldness,mileage,clime_id,shifter,person_capacity,doorsnumber,color,brand_id,model_id,ccm,highlighted,antiguedad,category_id,msrp,car_type_id,weight,fuel_tank,boot_capacity,fuel,environmental_id,cylinders,drive_id,consump_mixed,top_speed,acceleration,torque,power
15286169,8,2750000,6,0,32,58000,2,14,5,5,0,19,209,1461,1,1102,1,3430000.0,9,1090.0,50.0,573.0,3,6,4.0,1,3.5,173.0,11.8,220.0,90.0
15286170,1,1290000,3,0,71,95000,2,14,5,5,200,76,158,1390,0,4909,1,3710000.0,6,1165.0,60.0,330.0,0,4,4.0,1,6.7,183.0,12.5,127.0,98.0
15286195,15,950000,6,0,66,338500,2,15,5,5,190,76,158,1870,0,3539,1,5840000.0,9,1366.0,60.0,491.0,3,4,4.0,1,5.1,205.0,9.8,300.0,131.0
15286226,3,11200000,12,1,74,9600,5,25,5,5,10,99,52,2400,0,1043,9,14160000.0,13,1906.0,70.0,490.0,3,6,5.0,4,5.7,210.0,8.2,440.0,220.0
15514643,3,9190000,12,0,53,52600,3,25,5,5,130,99,52,2400,0,43892,9,14160000.0,13,1906.0,70.0,490.0,3,6,5.0,4,5.7,210.0,8.2,440.0,220.0
15521266,8,8690000,12,1,51,36414,4,25,5,5,0,99,52,2400,0,1191,9,14160000.0,13,1906.0,70.0,490.0,3,6,5.0,4,5.7,210.0,8.2,440.0,220.0
15610000,14,8399000,8,1,26,40850,6,25,5,5,190,99,52,2400,0,1216,9,14160000.0,13,1906.0,70.0,490.0,3,6,5.0,4,5.7,210.0,8.2,440.0,220.0
15286312,8,1999000,6,0,107,230000,5,15,5,5,30,98,305,1968,0,4238,6,9054000.0,9,1510.0,70.0,513.0,3,5,4.0,4,6.4,201.0,10.5,320.0,140.0
15551690,4,2490000,6,0,8,223000,4,15,5,5,190,98,226,1968,0,3420,6,9054000.0,9,1510.0,70.0,513.0,3,5,4.0,4,6.4,201.0,10.5,320.0,140.0
15286392,3,11790000,11,1,109,24900,5,27,5,5,10,13,698,2998,0,313,6,17388000.0,9,1685.0,60.0,495.0,0,7,6.0,4,8.3,250.0,5.0,450.0,326.0
15286423,15,3698000,12,0,32,216121,6,20,5,5,132,59,55,1461,1,1774,1,8670520.0,5,1435.0,56.0,486.0,3,5,4.0,1,4.5,190.0,11.6,260.0,109.0
15579966,4,1490000,6,1,1,74000,5,20,5,5,190,59,55,1461,0,2880,1,8670520.0,5,1435.0,56.0,486.0,3,5,4.0,1,4.5,190.0,11.6,260.0,109.0
15286601,14,8799000,12,1,71,0,5,0,5,5,0,44,536,1580,0,43836,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15286608,14,9249000,12,1,108,0,5,6,5,5,0,44,536,1580,0,43837,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15315795,2,8959000,3,1,63,5,5,0,5,5,10,44,536,1580,0,46,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15316686,3,8290000,12,1,100,3300,5,6,5,5,22,44,536,1580,1,46,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15345555,14,8859000,12,1,55,6,5,0,5,5,20,44,536,1580,0,43852,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15543019,3,9409000,12,1,46,0,3,0,5,5,0,44,536,1580,0,43899,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15621522,7,9409000,5,1,23,5,5,6,5,5,22,44,536,1580,0,43922,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15635570,1,8699000,3,1,18,10,1,0,5,5,0,44,536,1580,0,43927,1,8999000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15286616,14,1599000,10,0,31,136544,2,14,5,5,30,39,33,1396,1,3721,1,4049000.0,9,1236.0,53.0,415.0,0,4,4.0,1,6.1,187.0,11.7,137.0,109.0
15458563,4,1549000,12,1,28,144414,2,14,5,5,190,39,33,1396,0,3733,1,4049000.0,9,1236.0,53.0,415.0,0,4,4.0,1,6.1,187.0,11.7,137.0,109.0
15566374,4,1548000,10,1,2,185896,2,14,5,5,132,39,33,1396,0,3759,1,4049000.0,9,1236.0,53.0,415.0,0,4,4.0,1,6.1,187.0,11.7,137.0,109.0
15578730,16,1399000,11,1,0,240000,4,14,5,5,131,39,33,1396,0,3366,1,4049000.0,9,1236.0,53.0,415.0,0,4,4.0,1,6.1,187.0,11.7,137.0,109.0
15286619,14,9049000,10,1,108,0,5,6,5,5,0,44,536,1580,0,43837,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15315976,3,9209000,12,1,101,0,5,6,5,5,10,44,536,1580,0,15,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15386835,3,8399000,11,1,6,3000,5,0,5,5,0,44,536,1580,1,94,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15399439,16,8499000,6,1,80,4118,5,0,5,5,0,44,536,1580,0,128,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15456840,20,8690000,6,1,66,510,5,7,5,5,132,44,536,1580,0,172,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15462867,6,8699000,9,1,27,0,5,1,5,5,20,44,536,1580,0,43880,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15587201,8,8699000,7,1,34,1500,5,25,5,5,130,44,536,1580,0,82,1,9249000.0,13,1500.0,45.0,427.0,0,7,4.0,1,4.4,162.0,11.5,147.0,105.0
15286675,2,11063900,7,1,108,0,3,15,5,5,30,62,44,1998,0,43837,4,7567000.0,6,1255.0,44.0,278.0,0,7,4.0,1,6.2,232.0,6.9,280.0,192.0
15546687,8,10340000,8,1,45,3,3,7,5,5,30,62,44,1998,0,11,4,7567000.0,6,1255.0,44.0,278.0,0,7,4.0,1,6.2,232.0,6.9,280.0,192.0
15286709,3,2480000,6,0,69,177305,5,15,5,5,10,31,18,1499,0,1656,1,6250000.0,9,1524.0,55.0,476.0,0,6,4.0,1,5.9,210.0,9.1,240.0,150.0
15286821,3,149999,4,0,33,230000,2,14,5,5,10,18,171,1360,0,7313,1,3100000.0,6,1116.0,54.0,408.0,0,3,4.0,1,6.7,172.0,12.7,120.0,75.0
15346165,9,75000,6,0,16,189030,2,14,5,5,0,18,171,1360,0,6416,1,3100000.0,6,1116.0,54.0,408.0,0,3,4.0,1,6.7,172.0,12.7,120.0,75.0
15355995,3,100000,4,0,14,250000,2,14,5,5,0,18,171,1360,0,6845,1,3100000.0,6,1116.0,54.0,408.0,0,3,4.0,1,6.7,172.0,12.7,120.0,75.0
15495609,3,199000,12,1,56,249300,2,14,5,5,40,18,171,1360,0,6390,1,3100000.0,6,1116.0,54.0,408.0,0,3,4.0,1,6.7,172.0,12.7,120.0,75.0
